# DEMO DATA — Exported synthetic backend satellite flags and citizen reports for Mayurbhanj district, Odisha.
lat,lng,confidence_score,detected_at,corroboration_count,corroboration_state
22.1020,85.8110,0.92,2026-08-18T10:30:00Z,3,corroborated
22.1150,85.7980,0.88,2026-08-12T14:15:00Z,4,corroborated
22.0910,85.8230,0.85,2026-08-05T09:00:00Z,2,corroborated
22.1080,85.8050,0.90,2026-07-30T16:45:00Z,3,corroborated
22.1220,85.8170,0.95,2026-07-22T11:20:00Z,4,verified_fast_track
22.0950,85.7890,0.78,2026-07-15T08:10:00Z,2,corroborated
22.1010,85.8310,0.82,2026-07-08T13:30:00Z,3,corroborated
22.1180,85.8120,0.89,2026-06-28T15:00:00Z,2,corroborated
21.9050,86.2110,0.84,2026-07-12T12:00:00Z,2,corroborated
21.9180,86.1950,0.81,2026-06-30T17:15:00Z,3,corroborated
21.8920,86.2230,0.75,2026-06-18T10:45:00Z,1,single_source
21.9080,86.2050,0.87,2026-06-02T14:00:00Z,2,corroborated
21.6050,86.7110,0.70,2025-12-18T09:30:00Z,1,single_source
21.6180,86.6950,0.68,2025-11-30T11:00:00Z,2,corroborated
21.5920,86.7230,0.65,2025-11-12T16:20:00Z,1,single_source
