# DEMO DATA — Synthetic deforestation alerts for Mayurbhanj district, Odisha. Clustered to simulate realistic encroachment pressure zones. For demonstration purposes only. GFW format compatible.
latitude,longitude,alert_date,alert_confidence,area_ha
22.1025,85.8115,2026-08-15,high,0.35
22.1150,85.7980,2026-08-10,high,0.42
22.0910,85.8230,2026-08-04,high,0.28
22.1080,85.8050,2026-07-28,high,0.39
22.1220,85.8170,2026-07-20,high,0.45
22.0950,85.7890,2026-07-12,high,0.31
22.1010,85.8310,2026-07-05,high,0.27
22.1180,85.8120,2026-06-25,high,0.38
22.0880,85.7950,2026-06-18,high,0.22
22.1050,85.8200,2026-06-10,high,0.33
22.1290,85.8020,2026-05-29,high,0.41
22.0990,85.8150,2026-05-20,high,0.26
22.1120,85.7880,2026-05-12,high,0.30
22.1060,85.8280,2026-04-30,high,0.36
22.0920,85.8090,2026-04-18,high,0.29
22.1170,85.8190,2026-04-05,high,0.37
22.1000,85.7920,2026-03-22,high,0.24
22.1240,85.8260,2026-03-10,high,0.40
22.0860,85.8010,2026-02-28,high,0.18
22.1100,85.8140,2026-02-15,high,0.34
21.9050,86.2110,2026-07-10,high,0.28
21.9180,86.1950,2026-06-28,high,0.25
21.8920,86.2230,2026-06-15,medium,0.20
21.9080,86.2050,2026-05-30,high,0.30
21.9210,86.1880,2026-05-14,medium,0.16
21.8850,86.2170,2026-04-29,high,0.22
21.9010,86.1990,2026-04-12,medium,0.18
21.9140,86.2120,2026-03-25,high,0.27
21.8970,86.1820,2026-03-08,medium,0.14
21.9090,86.2290,2026-02-20,high,0.24
21.9250,86.2010,2026-02-02,medium,0.12
21.8890,86.2150,2026-01-18,high,0.21
21.9030,86.1910,2025-12-30,medium,0.15
21.9160,86.2080,2025-12-12,high,0.26
21.8940,86.2250,2025-11-25,medium,0.11
21.9070,86.1840,2025-11-08,high,0.23
21.9200,86.2190,2025-10-20,medium,0.13
21.8880,86.2020,2025-10-02,medium,0.10
21.6050,86.7110,2025-12-15,medium,0.18
21.6180,86.6950,2025-11-28,medium,0.15
21.5920,86.7230,2025-11-10,medium,0.12
21.6080,86.7050,2025-10-22,medium,0.19
21.6210,86.6880,2025-10-05,medium,0.14
21.5850,86.7170,2025-09-18,medium,0.11
21.6010,86.6990,2025-09-01,medium,0.16
21.6140,86.7120,2025-08-15,medium,0.20
21.5970,86.6820,2025-07-29,medium,0.09
21.6090,86.7290,2025-07-10,medium,0.13
21.6250,86.7010,2025-06-22,medium,0.08
21.5890,86.7150,2025-06-05,medium,0.10
