# DEMO DATA — Synthetic values based on ISFR 2021/2023 district-level averages for Odisha. For demonstration purposes only. Source structure: FSI State of Forest Report format.
district,state,year,dense_forest_km2,open_forest_km2,scrub_km2,total_forest_km2
mayurbhanj,odisha,2021,1280.5,1520.3,130.0,2930.8
mayurbhanj,odisha,2023,1210.2,1430.1,125.0,2765.3
keonjhar,odisha,2021,1100.0,1350.5,110.0,2560.5
keonjhar,odisha,2023,1035.0,1280.0,105.0,2420.0
sundargarh,odisha,2021,1420.0,1610.0,140.0,3170.0
sundargarh,odisha,2023,1395.0,1585.0,138.0,3118.0
sambalpur,odisha,2021,980.0,1120.0,90.0,2190.0
sambalpur,odisha,2023,965.0,1105.0,88.0,2158.0
bargarh,odisha,2021,450.0,520.0,40.0,1010.0
bargarh,odisha,2023,443.0,512.0,39.0,994.0
deogarh,odisha,2021,620.0,710.0,55.0,1385.0
deogarh,odisha,2023,610.0,700.0,54.0,1364.0
jharsuguda,odisha,2021,310.0,380.0,30.0,720.0
jharsuguda,odisha,2023,304.0,373.0,29.0,706.0
angul,odisha,2021,890.0,990.0,75.0,1955.0
angul,odisha,2023,875.0,974.0,73.0,1922.0
dhenkanal,odisha,2021,740.0,830.0,60.0,1630.0
dhenkanal,odisha,2023,728.0,817.0,59.0,1604.0
kandhamal,odisha,2021,2150.0,2410.0,180.0,4740.0
kandhamal,odisha,2023,2115.0,2375.0,176.0,4666.0
