# DEMO DATA — Simplified OpenStreetMap settlement locations for Mayurbhanj district, Odisha.
lat,lng,place,name
21.9320,86.7310,town,Baripada
22.2530,86.1670,town,Rairangpur
22.1130,86.1250,town,Jashipur
21.7630,85.9740,town,Karanjia
21.5700,86.5300,village,Udala
21.5200,86.5400,village,Kaptipada
22.4000,86.1700,village,Bahalda
22.2100,86.4200,village,Bangriposi
21.8500,86.7200,village,Badasahi
21.7800,86.8400,village,Betnoti
22.0500,86.6800,village,Kuliana
22.0800,85.9200,village,Thakurmunda
21.9800,85.8400,village,Raruan
22.3100,86.2500,village,Jamda
22.3800,86.3500,village,Tiring
21.6800,86.2200,village,Sukruli
22.1400,86.3800,hamlet,Bisoi
21.9100,86.5200,hamlet,Sarat
21.8200,86.1500,hamlet,Khunta
22.0200,86.2200,hamlet,Gudgudia
